1680803069.223823,stir,"stiri,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,_!","stire,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,end"
1680803070.2408025,temp,"tempi,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,_!","tempe,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,endtempb,4095,4095,2047,2045,4095,4095,2047,3492,4095,4095,2055,20"
1680803070.2409751,temp,"tempi,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,_!","tempe,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,endtempb,4095,4095,2047,2045,4095,4095,2047,3492,4095,4095,2055,206"
1680803070.2411454,temp,"tempi,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,_!","tempe,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,endtempb,4095,4095,2047,2045,4095,4095,2047,3492,4095,4095,2055,2061"
1680803070.2413194,temp,"tempi,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,_!","tempe,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,endtempb,4095,4095,2047,2045,4095,4095,2047,3492,4095,4095,2055,2061,"
1680803070.2414932,temp,"tempi,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,_!","tempe,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,endtempb,4095,4095,2047,2045,4095,4095,2047,3492,4095,4095,2055,2061,4"
1680803070.2416966,temp,"tempi,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,_!","tempe,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,endtempb,4095,4095,2047,2045,4095,4095,2047,3492,4095,4095,2055,2061,40"
1680803070.2418742,temp,"tempi,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,_!","tempe,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,endtempb,4095,4095,2047,2045,4095,4095,2047,3492,4095,4095,2055,2061,409"
1680803070.2420552,temp,"tempi,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,_!","tempe,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,endtempb,4095,4095,2047,2045,4095,4095,2047,3492,4095,4095,2055,2061,4095"
1680803070.2422333,temp,"tempi,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,_!","tempe,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,endtempb,4095,4095,2047,2045,4095,4095,2047,3492,4095,4095,2055,2061,4095,"
1680803070.2424078,temp,"tempi,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,_!","tempe,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,endtempb,4095,4095,2047,2045,4095,4095,2047,3492,4095,4095,2055,2061,4095,4"
