1681906922.860001,od_135b,65503,65501,1838,52276,65499,65501,1634,31895,65502,65502,48531,34218,65496,65502,1925,25934
1681906934.9300969,od_135b,65501,65501,1854,52361,65504,65503,1517,31805,65500,65506,48952,32783,65506,65502,1932,25089
1681906947.0014634,od_135b,65502,65503,1859,52590,65496,65497,1557,32536,65503,65502,49950,42185,65501,65500,1875,25465
1681906959.068504,od_135b,65507,65504,1895,52530,65500,65501,1479,32781,65503,65501,50811,47882,65502,65502,1985,29264
1681906971.1328368,od_135b,65504,65503,1838,52055,65502,65503,1354,31667,65505,65506,48118,37238,65506,65503,1911,24708
1681906983.2166774,od_135b,65505,65500,2021,52025,65502,65504,1525,31592,65506,65504,48166,43226,65501,65501,1891,25109
1681906995.286275,od_135b,65504,65504,1950,51999,65504,65500,1550,31893,65503,65505,49468,39604,65501,65501,1910,22933
1681907007.353733,od_135b,65501,65506,1876,52225,65502,65503,1456,31969,65498,65502,49349,40176,65502,65502,1920,22722
1681907019.416662,od_135b,65501,65501,1783,51898,65501,65501,1644,31443,65503,65501,48842,30621,65502,65502,1868,23682
1681907031.4838526,od_135b,65499,65501,1696,51877,65501,65503,1524,31595,65504,65502,48308,42626,65504,65504,1892,22410
1681907043.5521712,od_135b,65500,65504,1835,51900,65502,65504,1517,31397,65503,65503,48375,38209,65504,65502,1916,21443
1681907055.61666,od_135b,65500,65503,1835,51905,65501,65501,1541,31421,65504,65502,48561,36517,65500,65502,1953,25268
1681907067.7198787,od_135b,65501,65504,1919,52153,65505,65502,1425,31953,65506,65503,48234,38431,65504,65505,1679,23714
1681907079.793749,od_135b,65502,65502,1849,51733,65498,65503,1518,31460,65503,65503,48782,41865,65497,65498,1856,22108
1681907091.8609054,od_135b,65503,65506,1765,51819,65502,65503,1506,31407,65506,65503,48057,37675,65501,65502,1909,20980
1681907103.9282439,od_135b,65507,65500,1795,51770,65506,65507,1592,31534,65503,65505,49691,39614,65505,65507,1778,23709
1681907115.990908,od_135b,65503,65503,1922,51967,65508,65508,1548,31840,65507,65507,49559,40401,65505,65505,1977,28001
1681907128.0588639,od_135b,65499,65503,1747,51983,65503,65502,1740,31879,65503,65502,48672,41867,65499,65507,1883,24243
1681907140.1257422,od_135b,65503,65499,1874,51802,65500,65504,1515,31485,65505,65501,47992,38949,65506,65504,1801,23593
1681907152.2199593,od_135b,65505,65505,1931,51829,65505,65506,1331,31526,65507,65505,49304,38394,65506,65505,1850,27695
1681907164.2874289,od_135b,65508,65504,1784,51968,65503,65505,1508,31647,65505,65504,46586,41869,65506,65503,1902,23189
1681907176.3561845,od_135b,65506,65507,1932,52102,65507,65504,1629,32214,65501,65508,48308,41430,65505,65505,1771,24713
1681907188.4150903,od_135b,65507,65504,1881,52089,65506,65505,1425,32021,65505,65504,51260,33971,65507,65507,1949,26585
1681907200.4824097,od_135b,65501,65503,1873,51844,65502,65501,1522,31771,65502,65500,50043,33200,65505,65504,1898,23590
1681907212.5499744,od_135b,65506,65507,1896,51906,65506,65502,1482,31751,65504,65505,48963,32731,65503,65507,1880,25186
1681907224.6152248,od_135b,65500,65501,1812,51894,65504,65504,1538,31706,65505,65505,49881,34508,65504,65504,1893,26062
1681907236.722548,od_135b,65502,65504,1923,51744,65503,65504,1683,31329,65504,65502,48206,32693,65502,65503,1806,27136
1681907248.8281736,od_135b,65504,65502,1828,51853,65502,65502,1568,31616,65505,65504,49475,38243,65502,65502,1870,22071
1681907260.8925347,od_135b,65502,65506,1886,51794,65504,65504,1375,31644,65503,65503,49061,35801,65504,65504,1920,25868
1681907272.9599934,od_135b,65503,65505,1756,51765,65500,65505,1442,31479,65503,65502,49259,27975,65505,65506,1971,25864
1681907285.0270233,od_135b,65504,65504,1932,51794,65502,65504,1647,31399,65503,65505,49699,43130,65504,65503,1848,26181
1681907297.097058,od_135b,65508,65505,1784,51765,65500,65504,1528,31353,65507,65508,50455,41363,65507,65506,1680,23375
