SS1x;SS1y;SS2x;SS2y;SS3x;SS3y;SS4x;SS4y;SS5x;SS5y;SS6x;SS6y;SS7x;SS7y;SS8x;SS8y;SS9x;SS9y;SS10x;SS10y;SS11x;SS11y;SS12x;SS12y;SS13x;SS13y;SS14x;SS14y;SS15x;SS15y;SS16x;SS16y
2948.0;48313.0;2948.0;5621.4;2948.0;62271.0;2948.0;63440.8;2948.0;64739.8;2948.0;65072.0;2948.0;58531.0;2948.0;6549.0;2948.0;65505.0;2948.0;65504.2;2948.0;65504.2;2948.0;65505.8;2948.0;65502.0;2948.0;65505.0;2948.0;65507.0;2948.0;65507.0
2989.0;48125.4;2989.0;5447.0;2989.0;62206.2;2989.0;63464.8;2989.0;64759.0;2989.0;65070.2;2989.0;58469.0;2989.0;6363.0;2989.0;65503.8;2989.0;65503.4;2989.0;65504.8;2989.0;65505.4;2989.0;65504.4;2989.0;65504.0;2989.0;65507.0;2989.0;65506.0
3030.0;47945.4;3030.0;5236.0;3030.0;62111.6;3030.0;63400.0;3030.0;64642.6;3030.0;65079.6;3030.0;58228.0;3030.0;6144.0;3030.0;65502.6;3030.0;65503.2;3030.0;65504.2;3030.0;65502.6;3030.0;65503.4;3030.0;65504.8;3030.0;65507.0;3030.0;65502.0
3071.0;47795.0;3071.0;5042.0;3071.0;62059.2;3071.0;63264.8;3071.0;64586.8;3071.0;65073.0;3071.0;58179.2;3071.0;5754.0;3071.0;65504.6;3071.0;65502.4;3071.0;65505.8;3071.0;65504.6;3071.0;65504.6;3071.0;65504.2;3071.0;65505.0;3071.0;65503.0
3112.0;47650.0;3112.0;4890.0;3112.0;62076.6;3112.0;63255.4;3112.0;64596.8;3112.0;65069.4;3112.0;58114.2;3112.0;5625.2;3112.0;65503.0;3112.0;65503.8;3112.0;65508.0;3112.0;65506.2;3112.0;65504.4;3112.0;65503.2;3112.0;65505.0;3112.0;65503.0
3153.0;47486.0;3153.0;4700.0;3153.0;61947.0;3153.0;63229.0;3153.0;64599.2;3153.0;65069.2;3153.0;58089.8;3153.0;5472.2;3153.0;65503.0;3153.0;65503.2;3153.0;65504.6;3153.0;65506.2;3153.0;65505.8;3153.0;65505.4;3153.0;65505.0;3153.0;65505.0
3194.0;47113.0;3194.0;4522.0;3194.0;61764.6;3194.0;63186.0;3194.0;64612.8;3194.0;65066.8;3194.0;58043.8;3194.0;5302.8;3194.0;65504.0;3194.0;65504.0;3194.0;65504.0;3194.0;65508.0;3194.0;65505.2;3194.0;65506.4;3194.0;65507.4;3194.0;65505.8
3235.0;46972.2;3235.0;4173.0;3235.0;61419.0;3235.0;63106.2;3235.0;64605.8;3235.0;65066.6;3235.0;57962.2;3235.0;5172.6;3235.0;65506.0;3235.0;65509.0;3235.0;65504.8;3235.0;65507.4;3235.0;65506.0;3235.0;65504.8;3235.0;65504.0;3235.0;65505.2
3276.0;46803.4;3276.0;4056.2;3276.0;61735.0;3276.0;63091.0;3276.0;64589.8;3276.0;65068.2;3276.0;57898.8;3276.0;5013.6;3276.0;65508.0;3276.0;65507.0;3276.0;65508.2;3276.0;65506.0;3276.0;65507.8;3276.0;65505.6;3276.0;65505.4;3276.0;65507.4
3317.0;46636.4;3317.0;3908.6;3317.0;61730.0;3317.0;63140.0;3317.0;64587.2;3317.0;65063.4;3317.0;57864.0;3317.0;4872.0;3317.0;65508.8;3317.0;65506.0;3317.0;65509.0;3317.0;65509.6;3317.0;65505.2;3317.0;65507.2;3317.0;65507.0;3317.0;65507.4
3358.0;46510.6;3358.0;3761.4;3358.0;61639.0;3358.0;63107.0;3358.0;64561.2;3358.0;65051.4;3358.0;57810.8;3358.0;4764.0;3358.0;65508.2;3358.0;65507.6;3358.0;65509.0;3358.0;65508.0;3358.0;65504.6;3358.0;65504.8;3358.0;65506.4;3358.0;65505.8
3399.0;46354.8;3399.0;3654.6;3399.0;61635.8;3399.0;63059.0;3399.0;64550.0;3399.0;65060.6;3399.0;57718.2;3399.0;4617.6;3399.0;65506.4;3399.0;65509.6;3399.0;65505.0;3399.0;65508.0;3399.0;65507.4;3399.0;65503.4;3399.0;65507.2;3399.0;65505.6
3440.0;46211.0;3440.0;3529.8;3440.0;61632.6;3440.0;63107.8;3440.0;64561.0;3440.0;65059.0;3440.0;57637.0;3440.0;4477.2;3440.0;65506.0;3440.0;65506.0;3440.0;65507.0;3440.0;65509.0;3440.0;65508.8;3440.0;65505.2;3440.0;65507.8;3440.0;65506.4
3481.0;46111.4;3481.0;3408.4;3481.0;61690.4;3481.0;63145.6;3481.0;64555.0;3481.0;65058.0;3481.0;57599.6;3481.0;4384.0;3481.0;65507.2;3481.0;65506.2;3481.0;65506.2;3481.0;65507.0;3481.0;65508.0;3481.0;65506.6;3481.0;65505.6;3481.0;65505.8
